Timestamp,Sargassum_Health_Index,Marine_Biodiversity_Score,Water_Temperature_C,Dissolved_Oxygen_mg_L,pH_Level,Nutrient_Level_ppm,Impact_Likelihood_Percent
2024-10-01 00:00:00,55.90553407770534,76.532540023823,25.752972072047204,6.86934903129033,8.234845179845447,3.35356871624146,30.94937621914768
2024-10-01 00:05:00,63.376688592759834,92.49861435524171,25.102331010693103,7.547327380983099,8.075786250456876,2.5562026416059527,23.125403720300543
2024-10-01 00:10:00,74.61003279732788,81.06131965263181,23.840408262101136,6.8252832839083055,8.146783920168279,3.3004772159903064,25.80388060937287
2024-10-01 00:15:00,62.19818929637844,77.46688557996808,25.558369277012204,6.599309211520116,8.02580318080589,1.906925793690561,30.234323600874234
2024-10-01 00:20:00,71.85397566163594,86.98636962577406,25.129022056282544,7.084522625177229,8.252617802416486,2.5101684311290957,26.937108456216528
2024-10-01 00:25:00,70.10657326767111,82.42808559777964,26.90347613755021,6.949224992231059,8.117192079249667,4.191131902425473,25.123934049759487
2024-10-01 00:30:00,75.12876645151357,81.16380809682401,23.13421543921009,6.654775549423098,8.011863747343558,2.4219242294784196,23.186747159008984
2024-10-01 00:35:00,65.75641392231171,82.81661497857061,24.82261737259004,7.581087071294786,8.096960362918374,3.4527274444738616,24.775794223704015
2024-10-01 00:40:00,77.64977373491219,81.01430777693325,25.62669762125223,7.411630373391487,8.108305489321928,2.3733503392995328,23.66666913040214
2024-10-01 00:45:00,60.24741785190027,86.29784279537851,24.059827052290487,7.349251974690034,8.043907666852348,2.673553294094592,27.235870344068864
2024-10-01 00:50:00,70.34031195193933,80.91672024632139,24.28773137928668,7.058848783260295,8.003840805787261,3.963395866737329,24.323493314093913
2024-10-01 00:55:00,71.43814001936406,75.20597132096684,24.89405957414595,6.9836009701573305,8.236063528814332,2.8002154994554243,22.67730125071493
2024-10-01 01:00:00,57.70548032262473,73.86535110505584,23.278854284969118,6.247783407815719,8.054285297321135,3.7016979774876564,32.704353855737125
2024-10-01 01:05:00,67.00265355124719,78.97179397367348,24.825622334405605,6.503438885310464,8.254485868104066,3.421559087105114,31.329060754600025
2024-10-01 01:10:00,58.73662979354785,81.04095233847632,25.46098712785407,6.596200166430523,7.91270273607646,3.3725895391611362,29.232044606458874
2024-10-01 01:15:00,65.76067545024884,87.45844750702486,25.614747295640818,6.595918539020709,8.017572104370839,3.399408653068861,23.69514728630094
2024-10-01 01:20:00,73.90335315157782,77.4680626227305,25.292105309780894,7.12370992743205,8.126949457467314,2.45919019050157,24.191678157728038
2024-10-01 01:25:00,71.2160805307014,86.37849470784471,24.923892875163805,8.266232869170453,7.980595728982649,2.3305359467723323,21.477547171447057
2024-10-01 01:30:00,75.52783076617081,79.26296767723254,24.20493426619478,6.24308648712097,7.876458500065721,2.7166348295029974,24.03055146588064
